name;short_name;streetAddress;department;province;district;area
NATURAL CONSERVATION RIVER;;Calle Arequipa N°859 ;LORETO;MAYNAS;IQUITOS;AMBIENTE / EDUCACIÓN / INCLUSIÓN SOCIAL / JUSTICIA / SALUD
NATURALEZA Y CULTURA PERU;;CALLE BRASIL CDRA. 7 - URB. JARDIN N° 35;LORETO;MAYNAS;IQUITOS;EDUCACIÓN
NEDEELIR JUNTOS & CONTIGO;;JR. AYACUCHO 297 HUANCAYO;JUNIN;HUANCAYO;HUANCAYO;AMBIENTE / GÉNERO
NGO ESPERANZA;;CALLE LOS VIÑEDOS 209;LIMA;LIMA;LA MOLINA;EDUCACIÓN / INCLUSIÓN SOCIAL
NIÑO TAMBO HOSANNA (NITAHOS);;CAR.FEDERICO BASADRE KM. 15 INT. 2.7 CAS. HIPOLITO UNANUE (MARGEN IZQUIERDA);UCAYALI;CORONEL PORTILLO;CAMPOVERDE;GÉNERO
NIÑOS DEL CUSCO;;URB. PROGRESO D-10 (PLAZOLETA QUILLABAMBA);CUSCO;CUSCO;WANCHAQ;GÉNERO / SALUD
NONGOVERNMENTAL ORGANIZATION FOR DEVELOPMENT HEALTH AGROINDUSTRIES FREEDOM HOUSING AND ECOSYSTEMS PERU;;CALLE JUAN J. GANOZA N° 421 PISO 15 - OFICINA 1501 URBANIZACION CALIFORNIA;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;GOBERNABILIDAD
NUESTRO HORIZONTE VERDE;;CALLE LAS MAGNOLIAS B-16;LORETO;MAYNAS;IQUITOS;AMBIENTE
NUNAP KALLPAN RURICANCHO;;Jr. Los Ingenieros Mz. B Lote 13 AA.HH Jaime Zubiate Calderón ;LIMA;LIMA;SAN JUAN DE LURIGANCHO;EDUCACIÓN / INCLUSIÓN SOCIAL / PRODUCCIÓN
NUTRICION Y AMBIENTE SALUDABLE PARA LA INFANCIA;NUTRIAMBI;JR. PASTAZA 207;UCAYALI;CORONEL PORTILLO;CALLERIA;SALUD
"O.N.G ""ANIMATE PARA VIVIR""";APAVI;JR. COLONIAL 613 PAUCARBAMBA;HUANUCO;HUANUCO;AMARILIS;AMBIENTE / EDUCACIÓN
O.N.G. ASOCIACION HUMANISTICA INKA SOCRATICA CON VISION UNIVERSAL DEL PERU;;JR. ROSEMBERG 486;JUNIN;HUANCAYO;EL TAMBO;GÉNERO
O.N.G. ASOCIACION PARA EL DESARROLLO DE LA INFRAESTRUCTURA EDUCATIVA EN LA PROVINCIA DE JAEN;;PASAJE ALTAMIRANO 101, PISO 2° - SECTOR PUEBLO NUEVO;CAJAMARCA;JAEN;JAEN;EDUCACIÓN
O.N.G. DE APOYO PARA DISCAPACIDAD ESPERANZA NUEVA VIDA;ODAPDENV;MERCADO LOMA DEL SUR MZ. C LOTE 5;ANCASH;SANTA;NUEVO CHIMBOTE;GÉNERO / SALUD
O.N.G. EDUCACION Y GESTION AMBIENTAL PARA EL DESARROLLO INTEGRAL SOSTENIDO;EGADIS-PERU;JR. LADISLAO MEZA LANDAVERI N° 321;ANCASH;HUARAZ;HUARAZ;AMBIENTE / EDUCACIÓN / INCLUSIÓN SOCIAL
O.N.G. INCHATOMASHI;;URB. MAZAMARI CALLE 1 MZ. 27 LOTE 11;JUNIN;SATIPO;MAZAMARI;EDUCACIÓN
O.N.G. INSTITUTO NACIONAL AGRO-ECOLOGICO INDUSTRIAL DEL PERU;INAIP;MZA. C  LOTE 5  AA.HH  SEÑOR DE LUREN;LIMA;LIMA;SAN JUAN DE LURIGANCHO;EDUCACIÓN / INCLUSIÓN SOCIAL
O.N.G. JOVENES IMPARABLES;;JR. JUNIN MZ. F LOTE 11- PUEBLO JOVEN DOS DE MAYO;ANCASH;SANTA;CHIMBOTE;AMBIENTE
O.N.G. KERIGMA;KERIGMA;AV. TAHUANTINSUYO 911;JUNIN;HUANCAYO;EL TAMBO;AGROPECUARIO / CIENCIA Y TECNOLOGÍA / EDUCACIÓN / GÉNERO / GOBERNABILIDAD / INCLUSIÓN SOCIAL / PRODUCCIÓN / SALUD / TRABAJO
O.N.G. MAMA ALICE;;JR CALLAO 357;AYACUCHO;HUAMANGA;AYACUCHO;EDUCACIÓN / SALUD / VIVIENDA Y SANEAMIENTO
O.N.G. TRABAJANDO POR UN FUTURO EN COSTA SIERRA Y SELVA;;Av. Puerto Rico, Carretera Central, Plaza de Armas del Centro Poblado de San Balvin N°01;JUNIN;HUANCAYO;PARIAHUANCA;AGROPECUARIO / AMBIENTE / CIENCIA Y TECNOLOGÍA / EDUCACIÓN / SALUD
O.N.G.D. FORTALECIMIENTO CREATIVO DE CAPACIDADES DISTINTIVAS;ONGD FOCCADI;AV. GENERAL GARZON 1082 - OFICINA 302;LIMA;LIMA;JESUS MARIA;JUSTICIA / SALUD
OFICINA DE SOLIDARIDAD DE LOS CARMELITAS DESCALZOS DE PERU;OSCAR DE PERU;JR. CONCHUCOS  720 - BARRIOS ALTOS;LIMA;LIMA;LIMA;EDUCACIÓN
OFICINA TECNICA DE APOYO RURAL;OTAR-PERU;AV. RAMON CASTILLA Nº 139 2DO. PISO;AYACUCHO;HUAMANGA;AYACUCHO;AGROPECUARIO / PRODUCCIÓN
